# cluster_name	protein_number	swiss_prot_id	go_annotation	protein_list
cluster13255	2	P56563	GO:0002088; P:lens development in camera-type eye; IMP:MGI	bGalGal|ENSGALP00010042428.1;bVulGry|ENSGALT00010068986.87
cluster13259	2	Q8NAG6	GO:0006611; P:protein export from nucleus; IDA:UniProtKB	bGalGal|ENSGALP00010042672.1;bVulGry|ENSGALT00010069230.45
cluster13262	2	Q9UL16	GO:0005634; C:nucleus; NAS:UniProtKB	bGalGal|ENSGALP00010042774.1;bVulGry|ENSGALT00010069453.116
cluster13264	2	O60664	GO:0016192; P:vesicle-mediated transport; TAS:ProtInc	bGalGal|ENSGALP00010042800.1;bVulGry|ENSGALT00010069539.124
cluster13266	2	P04459	GO:0005200; F:structural constituent of cytoskeleton; IEA:InterPro	bGalGal|ENSGALP00010042842.1;bGymCal|ENSGALT00010069581.73
cluster13267	2	Q96SX5	GO:0042254; P:ribosome biogenesis; IMP:UniProtKB	bGalGal|ENSGALP00010042900.1;bGymCal|ENSGALT00010069640.16
cluster13269	2	Q9UGF6	GO:0004984; F:olfactory receptor activity; IBA:GO_Central	bGalGal|ENSGALP00010043066.1;bGymCal|ENSGALT00010069940.1387
cluster13270	2	Q864V4	GO:0005886; C:plasma membrane; IEA:UniProtKB-SubCell	bGalGal|ENSGALP00010043150.1;bGymCal|ENSGALT00010070459.17
cluster13272	2	Q5R5R2	N/A	bGalGal|ENSGALP00010043213.1;bVulGry|ENSGALT00010070522.17
cluster13277	2	P51688	GO:0030200; P:heparan sulfate proteoglycan catabolic process; IMP:UniProtKB	bGalGal|ENSGALP00010043568.1;bGymCal|ENSGALT00010070877.18
cluster13278	2	N/A	N/A	bGalGal|ENSGALP00010043753.1;bVulGry|ENSGALT00010071062.18
cluster13281	2	Q96PU9	GO:0007283; P:spermatogenesis; IEA:UniProtKB-KW	bGalGal|ENSGALP00010043969.1;bGymCal|ENSGALT00010071256.26798
cluster13286	2	O18728	GO:0042462; P:eye photoreceptor cell development; IEA:Ensembl	bGalGal|ENSGALP00010044056.1;bVulGry|ENSGALT00010071365.18
cluster13289	2	Q17QJ1	GO:0006631; P:fatty acid metabolic process; IEA:UniProtKB-KW	bGalGal|ENSGALP00010044378.1;bGymCal|ENSGALT00010071686.67
cluster13290	2	Q92614	GO:0043030; P:regulation of macrophage activation; IMP:UniProtKB	bGalGal|ENSGALP00010044497.1;bGymCal|ENSGALT00010071807.17
cluster13293	2	A2A863	GO:0061450; P:trophoblast cell migration; IMP:MGI	bGalGal|ENSGALP00010044757.1;bVulGry|ENSGALT00010072105.18
cluster13297	2	P09102	GO:0034976; P:response to endoplasmic reticulum stress; IBA:GO_Central	bGalGal|ENSGALP00010044865.1;bVulGry|ENSGALT00010072678.18
